DATE,TIME,SPO2,PULSE
2023/8/30, 19:52:47,98,135
2023/8/30, 19:52:48,98,135
2023/8/30, 19:52:49,98,135
2023/8/30, 19:52:50,98,135
2023/8/30, 19:52:51,98,135
2023/8/30, 19:52:52,98,135
2023/8/30, 19:52:53,98,135
2023/8/30, 19:52:54,98,135
2023/8/30, 19:52:55,98,125
2023/8/30, 19:52:56,98,104
2023/8/30, 19:52:57,99,104
2023/8/30, 19:52:58,99,99
2023/8/30, 19:52:59,99,89
2023/8/30, 19:53:00,99,85
2023/8/30, 19:53:01,99,87
2023/8/30, 19:53:02,99,89
2023/8/30, 19:53:03,99,91
2023/8/30, 19:53:04,99,91
2023/8/30, 19:53:05,99,91
2023/8/30, 19:53:06,99,90
2023/8/30, 19:53:07,99,88
2023/8/30, 19:53:08,99,88
2023/8/30, 19:53:09,99,88
2023/8/30, 19:53:10,99,88
2023/8/30, 19:53:11,99,88
2023/8/30, 19:53:12,99,89
2023/8/30, 19:53:13,99,91
2023/8/30, 19:53:14,99,91
2023/8/30, 19:53:15,99,91
2023/8/30, 19:53:16,99,92
2023/8/30, 19:53:17,99,93
2023/8/30, 19:53:18,98,93
2023/8/30, 19:53:19,98,94
2023/8/30, 19:53:20,98,94
2023/8/30, 19:53:21,98,94
2023/8/30, 19:53:22,97,93
2023/8/30, 19:53:23,97,92
2023/8/30, 19:53:24,97,91
2023/8/30, 19:53:25,97,91
2023/8/30, 19:53:26,97,91
2023/8/30, 19:53:27,97,93
2023/8/30, 19:53:28,97,97
2023/8/30, 19:53:29,97,99
2023/8/30, 19:53:30,97,100
2023/8/30, 19:53:31,97,100
2023/8/30, 19:53:32,97,100
2023/8/30, 19:53:33,97,100
2023/8/30, 19:53:34,97,100
2023/8/30, 19:53:35,97,100
2023/8/30, 19:53:36,97,100
2023/8/30, 19:53:37,97,101
2023/8/30, 19:53:38,97,101
2023/8/30, 19:53:39,97,101
2023/8/30, 19:53:40,96,101
2023/8/30, 19:53:41,96,101
2023/8/30, 19:53:42,95,100
2023/8/30, 19:53:43,95,98
2023/8/30, 19:53:44,95,95
2023/8/30, 19:53:45,96,94
2023/8/30, 19:53:46,97,94
2023/8/30, 19:53:47,98,93
2023/8/30, 19:53:48,98,93
2023/8/30, 19:53:49,98,93
2023/8/30, 19:53:50,98,93
2023/8/30, 19:53:51,98,93
2023/8/30, 19:53:52,99,93
2023/8/30, 19:53:53,99,93
2023/8/30, 19:53:54,99,93
2023/8/30, 19:53:55,98,93
2023/8/30, 19:53:56,98,93
2023/8/30, 19:53:57,98,93
2023/8/30, 19:53:58,98,93
2023/8/30, 19:53:59,98,93
2023/8/30, 19:54:00,97,92
2023/8/30, 19:54:01,96,92
2023/8/30, 19:54:02,96,93
2023/8/30, 19:54:03,96,94
2023/8/30, 19:54:04,96,94
2023/8/30, 19:54:05,96,94
2023/8/30, 19:54:06,96,94
2023/8/30, 19:54:07,96,94
2023/8/30, 19:54:08,97,94
2023/8/30, 19:54:09,97,94
2023/8/30, 19:54:10,97,94
2023/8/30, 19:54:11,98,94
2023/8/30, 19:54:12,98,96
2023/8/30, 19:54:13,97,99
2023/8/30, 19:54:14,97,100
2023/8/30, 19:54:15,97,100
2023/8/30, 19:54:16,97,100
2023/8/30, 19:54:17,97,100
2023/8/30, 19:54:18,97,100
2023/8/30, 19:54:19,97,100
2023/8/30, 19:54:20,97,100
2023/8/30, 19:54:21,97,100
2023/8/30, 19:54:22,97,101
2023/8/30, 19:54:23,97,100
2023/8/30, 19:54:24,97,100
2023/8/30, 19:54:25,97,99
2023/8/30, 19:54:26,97,98
2023/8/30, 19:54:27,96,97
2023/8/30, 19:54:28,96,98
2023/8/30, 19:54:29,96,99
2023/8/30, 19:54:30,95,99
2023/8/30, 19:54:31,95,101
2023/8/30, 19:54:32,94,103
2023/8/30, 19:54:33,94,104
2023/8/30, 19:54:34,94,105
2023/8/30, 19:54:35,94,105
2023/8/30, 19:54:36,94,105
2023/8/30, 19:54:37,94,105
2023/8/30, 19:54:38,94,105
2023/8/30, 19:54:39,94,105
2023/8/30, 19:54:40,94,105
2023/8/30, 19:54:41,94,102
2023/8/30, 19:54:42,94,100
2023/8/30, 19:54:43,94,98
2023/8/30, 19:54:44,94,93
2023/8/30, 19:54:45,94,91
2023/8/30, 19:54:46,94,91
2023/8/30, 19:54:47,95,91
